function	file	line	col	source	char	type	optimization
PQCLEAN_MLKEM768_CLEAN_poly_tobytes	poly.c	83	12	        t0 += ((int16_t)t0 >> 15) & KYBER_Q;	+	cjump	O1|O2|O3|Os|Oz
PQCLEAN_FALCON1024_CLEAN_verify_raw	vrfy.c	666	11	        w -= (int32_t)(Q & -(((Q >> 1) - (uint32_t)w) >> 31));	-	cjump	O1|O2|O3|Os
PQCLEAN_SPHINCSSHA2256SSIMPLE_CLEAN_wots_gen_leafx1	wotsx1.c	41	47	        uint32_t wots_k = info->wots_steps[i] | wots_k_mask; /* Set wots_k to */	|	cjump	O1|O2|O3|Os|Oz
PQCLEAN_FALCONPADDED512_CLEAN_to_ntt_monty	vrfy.c	371	7	    d += Q & -(d >> 31);	+	cjump	O1|O2|O3
PQCLEAN_FALCONPADDED512_CLEAN_count_nttzero	vrfy.c	371	7	    d += Q & -(d >> 31);	+	cjump	O1|O2|O3
PQCLEAN_FALCON1024_CLEAN_verify_raw	vrfy.c	647	11	        w += Q & -(w >> 31);	+	cjump	O1|O2|O3|Os|Oz
poly_sub_scaled_ntt	keygen.c	1199	11	        w += p & -(w >> 31);	+	cjump	O1|O2
PQCLEAN_FALCON1024_CLEAN_is_invertible	vrfy.c	417	7	    z += Q & -(z >> 31);	+	cjump	O1|O2|O3
PQCLEAN_FALCONPADDED512_CLEAN_verify_raw	vrfy.c	666	11	        w -= (int32_t)(Q & -(((Q >> 1) - (uint32_t)w) >> 31));	-	cjump	O1|O2|O3|Os
PQCLEAN_FALCONPADDED512_CLEAN_complete_private	vrfy.c	417	7	    z += Q & -(z >> 31);	+	cjump	O1|O2|O3|Os
PQCLEAN_FALCON512_CLEAN_keygen	keygen.c	1199	11	        w += p & -(w >> 31);	+	cjump	O1|O2
PQCLEAN_FALCONPADDED1024_CLEAN_keygen	keygen.c	285	7	    m &= -(uint64_t)((uint32_t)(e - 64) >> 31);	&	cjump	O1|O2|Os
make_fg	keygen.c	635	7	    w += p & -(w >> 31);	+	cjump	O1|O2|O3|Os|Oz
PQCLEAN_FALCON1024_CLEAN_compute_public	vrfy.c	417	7	    z += Q & -(z >> 31);	+	cjump	O1|O2|O3
PQCLEAN_FALCONPADDED1024_CLEAN_sampler	sign.c	1057	43	    z = ((fpr_expm_p63(r, ccs) << 1) - 1) >> s;	>	cjump	O1|O2|O3|Os|Oz
PQCLEAN_FALCONPADDED1024_CLEAN_keygen	keygen.c	683	7	    d += p & -(d >> 31);	+	cjump	O1|O2|Os|Oz
PQCLEAN_FALCON1024_CLEAN_verify_recover	vrfy.c	371	7	    d += Q & -(d >> 31);	+	cjump	O1|O2|O3|Os|Oz
PQCLEAN_FALCONPADDED512_CLEAN_verify_raw	vrfy.c	647	11	        w += Q & -(w >> 31);	+	cjump	O1|O2|O3|Os|Oz
PQCLEAN_FALCONPADDED1024_CLEAN_compute_public	vrfy.c	417	7	    z += Q & -(z >> 31);	+	cjump	O1|O2|O3
PQCLEAN_FALCON512_CLEAN_fpr_expm_p63	fpr.c	383	14	    xu = (xu ^ -t) + t;	^	cjump	O1|O2|O3|Os
PQCLEAN_SPHINCSSHAKE256FSIMPLE_CLEAN_wots_gen_leafx1	wotsx1.c	41	47	        uint32_t wots_k = info->wots_steps[i] | wots_k_mask; /* Set wots_k to */	|	cjump	O1|O2|O3|Os|Oz
PQCLEAN_FALCON512_CLEAN_complete_private	vrfy.c	371	7	    d += Q & -(d >> 31);	+	cjump	O1|O2|O3
PQCLEAN_MLKEM768_CLEAN_poly_compress	poly.c	30	15	            u += (u >> 15) & KYBER_Q;	+	cjump	O1|O2|O3|Os|Oz
PQCLEAN_FALCON1024_CLEAN_keygen	keygen.c	1199	11	        w += p & -(w >> 31);	+	cjump	O1|O2
PQCLEAN_HQC192_CLEAN_vect_set_random_fixed_weight	vector.c	108	17	            val |= (bit_tab[j] & mask64);	|	cjump	O1|O2|Os|Oz
PQCLEAN_HQC128_CLEAN_vect_set_random_fixed_weight	vector.c	108	17	            val |= (bit_tab[j] & mask64);	|	cjump	O1|O2|Os|Oz
PQCLEAN_FALCON1024_CLEAN_is_invertible	vrfy.c	355	7	    d += Q & -(d >> 31);	+	cjump	O1|O2|O3
PQCLEAN_FALCONPADDED1024_CLEAN_count_nttzero	vrfy.c	355	7	    d += Q & -(d >> 31);	+	cjump	O1|O2|O3
PQCLEAN_FALCONPADDED512_CLEAN_count_nttzero	vrfy.c	417	7	    z += Q & -(z >> 31);	+	cjump	O1|O2|O3
PQCLEAN_FALCONPADDED1024_CLEAN_is_invertible	vrfy.c	417	7	    z += Q & -(z >> 31);	+	cjump	O1|O2|O3
PQCLEAN_FALCONPADDED512_CLEAN_verify_raw	vrfy.c	355	7	    d += Q & -(d >> 31);	+	cjump	O1|O2|O3
mq_iNTT	vrfy.c	371	7	    d += Q & -(d >> 31);	+	cjump	O1|O2|O3|Os|Oz
poly_sub_scaled_ntt	keygen.c	635	7	    w += p & -(w >> 31);	+	cjump	O1|O2|O3|Os|Oz
PQCLEAN_MLKEM512_CLEAN_polyvec_compress	polyvec.c	24	22	                t[k] += ((int16_t)t[k] >> 15) & KYBER_Q;	+	cjump	O1|O2|O3|Os|Oz
PQCLEAN_FALCONPADDED512_CLEAN_complete_private	vrfy.c	336	7	    y += Q & -(y >> 31);	+	cjump	O1|O2|O3|Os|Oz
PQCLEAN_MLDSA87_CLEAN_use_hint	rounding.c	47	9	    *a0 -= (((Q - 1) / 2 - *a0) >> 31) & Q;	-	cjump	O1|O2|O3|Os
PQCLEAN_MLDSA65_CLEAN_use_hint	rounding.c	47	9	    *a0 -= (((Q - 1) / 2 - *a0) >> 31) & Q;	-	cjump	O1|O2|O3|Os
PQCLEAN_FALCONPADDED512_CLEAN_keygen	keygen.c	635	7	    w += p & -(w >> 31);	+	cjump	O1|O2|Os|Oz
solve_NTRU_intermediate	keygen.c	683	7	    d += p & -(d >> 31);	+	cjump	O1|O2|O3
PQCLEAN_FALCON512_CLEAN_verify_recover	vrfy.c	371	7	    d += Q & -(d >> 31);	+	cjump	O1|O2|O3|Os|Oz
PQCLEAN_FALCONPADDED1024_CLEAN_keygen	keygen.c	470	8	    sy &= ~((sx ^ sy) >> 63); /* set sy=0 if signs differ */	&	cjump	O1|O2|O3|Os
PQCLEAN_HQC128_CLEAN_reed_solomon_decode	reed_solomon.c	264	29	            error_values[i] += mask1 & mask2 & e_j[j];	+	cjump	O1|O2|O3|Os|Oz
PQCLEAN_SPHINCSSHAKE256SSIMPLE_CLEAN_wots_gen_leafx1	wotsx1.c	41	47	        uint32_t wots_k = info->wots_steps[i] | wots_k_mask; /* Set wots_k to */	|	cjump	O1|O2|O3|Os|Oz
modp_iNTT2_ext	keygen.c	723	7	    d += p & -(d >> 31);	+	cjump	O1|O2|O3|Os
PQCLEAN_FALCONPADDED512_CLEAN_compute_public	vrfy.c	355	7	    d += Q & -(d >> 31);	+	cjump	O1|O2|O3
PQCLEAN_FALCON1024_CLEAN_to_ntt_monty	vrfy.c	355	7	    d += Q & -(d >> 31);	+	cjump	O1|O2|O3
PQCLEAN_FALCON1024_CLEAN_compute_public	vrfy.c	336	7	    y += Q & -(y >> 31);	+	cjump	O1|O2|O3|Os|Oz
PQCLEAN_SPHINCSSHA2256FSIMPLE_CLEAN_wots_gen_leafx1	wotsx1.c	41	47	        uint32_t wots_k = info->wots_steps[i] | wots_k_mask; /* Set wots_k to */	|	cjump	O1|O2|O3|Os|Oz
PQCLEAN_FALCONPADDED512_CLEAN_compute_public	vrfy.c	417	7	    z += Q & -(z >> 31);	+	cjump	O1|O2|O3
PQCLEAN_FALCONPADDED512_CLEAN_complete_private	vrfy.c	355	7	    d += Q & -(d >> 31);	+	cjump	O1|O2|O3
modp_mkgm2	keygen.c	723	7	    d += p & -(d >> 31);	+	cjump	O1|O2|O3|Os
poly_sub_scaled_ntt	keygen.c	695	7	    d += p & -(d >> 31);	+	cjump	O1|O2|O3
PQCLEAN_FALCON512_CLEAN_count_nttzero	vrfy.c	355	7	    d += Q & -(d >> 31);	+	cjump	O1|O2|O3
PQCLEAN_FALCONPADDED512_CLEAN_to_ntt_monty	vrfy.c	417	7	    z += Q & -(z >> 31);	+	cjump	O1|O2|O3|Os
mq_div_12289	vrfy.c	417	7	    z += Q & -(z >> 31);	+	cjump	O1|O2|O3|Os
